corpus	smoothing	ngram	type	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008
French	1	lisp (All)	CASE_INSENSITIVE	4.27e-09	3.815e-09	4.816e-09	3.818e-09	2.849e-09	7.863e-10	1.596e-09	3.934e-09	3.148e-09	2.996e-09	6.587e-10	3.971e-09	9.993e-09	3.194e-08	8.174e-08	9.409e-08	1.016e-07	5.931e-08	1.212e-07	1.059e-07	1.164e-07	6.996e-08	6.297e-08	5.409e-08	3.067e-08	4.37e-08	3.81e-08	6.734e-08	7.438e-08	1.208e-07	1.076e-07	1.009e-07	1.191e-07	2.087e-07	6.294e-07	6.954e-07	7.806e-07	4.305e-07	3.845e-07	2.733e-07	2.37e-07	1.684e-07	1.443e-07	1.199e-07	1.164e-07	6.062e-08	1.489e-07	1.44e-07	1.569e-07	7.404e-08	8.364e-08	8.805e-08	7.451e-08	6.38e-08	4.633e-08	3.967e-08	5.335e-08	6.015e-08	6.683e-08
French	1	LISP	EXPANSION	0	0	9.497e-10	9.497e-10	9.497e-10	0	0	0	0	0	0	1.104e-09	4.444e-09	2.639e-08	7.357e-08	8.048e-08	8.374e-08	4.05e-08	1.096e-07	9.573e-08	1.005e-07	5.015e-08	4.164e-08	4.294e-08	2.181e-08	3.419e-08	2.904e-08	6.041e-08	7.186e-08	1.178e-07	9.792e-08	8.523e-08	8.491e-08	1.435e-07	3.88e-07	4.185e-07	4.68e-07	2.471e-07	2.068e-07	1.087e-07	1.037e-07	7.192e-08	5.206e-08	3.49e-08	3.479e-08	3.265e-08	8.738e-08	8.745e-08	8.723e-08	3.177e-08	3.469e-08	3.43e-08	3.439e-08	3.181e-08	2.916e-08	2.318e-08	1.908e-08	2.052e-08	1.762e-08
French	1	Lisp	EXPANSION	0	0	0	0	0	0	0	0	0	0	0	2.208e-09	5.549e-09	5.549e-09	6.237e-09	1.022e-08	1.316e-08	1.492e-08	9.178e-09	7.803e-09	1.384e-08	1.544e-08	1.766e-08	7.442e-09	6.9e-09	5.078e-09	5.584e-09	3.468e-09	1.504e-09	1.01e-09	6.626e-09	9.621e-09	2.113e-08	5.377e-08	2.259e-07	2.647e-07	2.971e-07	1.638e-07	1.561e-07	1.361e-07	1.115e-07	8.014e-08	8.391e-08	7.699e-08	7.284e-08	2.049e-08	4.866e-08	4.532e-08	5.722e-08	3.824e-08	4.218e-08	4.817e-08	3.52e-08	3.014e-08	1.531e-08	1.298e-08	2.793e-08	3.329e-08	4.372e-08
French	1	lisp	EXPANSION	4.27e-09	3.815e-09	3.867e-09	2.868e-09	1.899e-09	7.863e-10	1.596e-09	3.934e-09	3.148e-09	2.996e-09	6.587e-10	6.587e-10	0	0	1.931e-09	3.395e-09	4.656e-09	3.889e-09	2.425e-09	2.339e-09	2.105e-09	4.373e-09	3.671e-09	3.704e-09	1.963e-09	4.435e-09	3.472e-09	3.462e-09	1.02e-09	2.007e-09	3.024e-09	6.014e-09	1.303e-08	1.15e-08	1.549e-08	1.224e-08	1.554e-08	1.965e-08	2.166e-08	2.844e-08	2.181e-08	1.631e-08	8.292e-09	8.053e-09	8.781e-09	7.487e-09	1.287e-08	1.121e-08	1.244e-08	4.019e-09	6.774e-09	5.581e-09	4.925e-09	1.849e-09	1.861e-09	3.507e-09	6.336e-09	6.346e-09	5.497e-09
German	1	algol (All)	CASE_INSENSITIVE	9.275e-08	1.059e-07	1.157e-07	1.015e-07	6.958e-08	7.517e-08	6.026e-08	8.426e-08	1.269e-07	1.333e-07	1.882e-07	2.46e-07	3.853e-07	3.902e-07	3.766e-07	5.356e-07	6.167e-07	7.146e-07	6.25e-07	7.154e-07	7.816e-07	1.012e-06	1.341e-06	1.343e-06	1.466e-06	1.16e-06	1.068e-06	5.871e-07	4.566e-07	4.944e-07	5.042e-07	3.939e-07	2.238e-07	1.749e-07	2.128e-07	2.618e-07	2.12e-07	1.733e-07	1.088e-07	2.01e-07	1.794e-07	1.715e-07	9.058e-08	9.498e-08	9.363e-08	8.866e-08	8.995e-08	1.073e-07	9.369e-08	8.455e-08	7.14e-08	9.838e-08	1.02e-07	1.599e-07	1.414e-07	1.586e-07	1.071e-07	1.109e-07	9.901e-08
German	1	ALGOL	EXPANSION	5.438e-09	3.626e-09	6.198e-09	6.198e-09	6.198e-09	0	6.647e-09	1.212e-08	6.887e-08	7.995e-08	1.268e-07	1.711e-07	3.073e-07	3.246e-07	2.867e-07	3.756e-07	4.31e-07	5.399e-07	5.073e-07	5.892e-07	6.067e-07	8.016e-07	1.129e-06	1.164e-06	1.262e-06	9.672e-07	9.041e-07	4.682e-07	3.576e-07	4.031e-07	4.342e-07	3.454e-07	1.754e-07	1.194e-07	1.429e-07	1.835e-07	1.576e-07	1.311e-07	8.505e-08	1.748e-07	1.504e-07	1.344e-07	4.534e-08	4.838e-08	4.912e-08	4.126e-08	4.167e-08	5.464e-08	5.845e-08	5.286e-08	2.635e-08	4.994e-08	5.288e-08	1.265e-07	1.044e-07	1.11e-07	5.698e-08	5.536e-08	5.256e-08
German	1	Algol	EXPANSION	8.731e-08	1.022e-07	1.095e-07	9.526e-08	6.338e-08	7.517e-08	5.362e-08	7.213e-08	5.801e-08	5.337e-08	6.136e-08	7.494e-08	7.794e-08	6.559e-08	8.995e-08	1.6e-07	1.858e-07	1.747e-07	1.176e-07	1.262e-07	1.749e-07	2.103e-07	2.118e-07	1.791e-07	2.04e-07	1.928e-07	1.635e-07	1.189e-07	9.901e-08	9.134e-08	7.005e-08	4.845e-08	4.842e-08	5.55e-08	6.986e-08	7.832e-08	5.441e-08	4.222e-08	2.377e-08	2.62e-08	2.906e-08	3.711e-08	4.524e-08	4.66e-08	4.451e-08	4.74e-08	4.828e-08	5.266e-08	3.525e-08	3.169e-08	4.505e-08	4.844e-08	4.917e-08	3.342e-08	3.701e-08	4.76e-08	5.013e-08	5.554e-08	4.645e-08
German	1	fortran (All)	CASE_INSENSITIVE	0	0	7.747e-09	7.747e-09	9.097e-09	2.541e-09	4.757e-09	6.693e-09	5.562e-08	5.873e-08	8.444e-08	4.457e-08	1.23e-07	1.224e-07	1.726e-07	2.075e-07	3.036e-07	4.534e-07	6.695e-07	8.604e-07	1.134e-06	1.269e-06	1.547e-06	1.656e-06	1.797e-06	1.543e-06	1.36e-06	1.06e-06	1.115e-06	1.054e-06	1.019e-06	9.163e-07	8.378e-07	9.133e-07	9.683e-07	1.045e-06	8.855e-07	9.045e-07	1.046e-06	1.232e-06	1.08e-06	7.664e-07	7.557e-07	7.243e-07	6.328e-07	3.339e-07	2.554e-07	2.413e-07	2.282e-07	2.25e-07	2.283e-07	2.766e-07	2.608e-07	2.742e-07	2.968e-07	3.138e-07	3.707e-07	3.078e-07	3.123e-07
German	1	FORTRAN	EXPANSION	0	0	1.549e-09	1.549e-09	2.9e-09	2.541e-09	3.649e-09	4.49e-09	5.058e-08	5.125e-08	6.517e-08	2.656e-08	9.579e-08	9.462e-08	1.235e-07	1.516e-07	2.21e-07	3.589e-07	5.105e-07	6.602e-07	8.5e-07	9.814e-07	1.243e-06	1.378e-06	1.519e-06	1.293e-06	1.12e-06	8.069e-07	8.364e-07	7.946e-07	7.95e-07	7.319e-07	6.515e-07	7.252e-07	7.503e-07	8.183e-07	6.509e-07	6.416e-07	7.481e-07	9.422e-07	8.444e-07	5.52e-07	3.501e-07	2.586e-07	2.322e-07	1.593e-07	1.494e-07	1.334e-07	1.357e-07	1.349e-07	1.309e-07	1.536e-07	1.445e-07	1.606e-07	1.711e-07	1.733e-07	1.854e-07	1.416e-07	1.447e-07
German	1	Fortran	EXPANSION	0	0	6.198e-09	6.198e-09	6.198e-09	0	1.108e-09	2.203e-09	5.04e-09	7.479e-09	1.927e-08	1.801e-08	2.717e-08	2.779e-08	4.912e-08	5.588e-08	8.262e-08	9.459e-08	1.591e-07	2.001e-07	2.837e-07	2.879e-07	3.033e-07	2.777e-07	2.78e-07	2.499e-07	2.396e-07	2.533e-07	2.782e-07	2.592e-07	2.24e-07	1.844e-07	1.862e-07	1.881e-07	2.18e-07	2.263e-07	2.346e-07	2.629e-07	2.982e-07	2.901e-07	2.354e-07	2.144e-07	4.057e-07	4.657e-07	4.006e-07	1.746e-07	1.06e-07	1.08e-07	9.247e-08	9.018e-08	9.744e-08	1.23e-07	1.164e-07	1.136e-07	1.257e-07	1.405e-07	1.853e-07	1.662e-07	1.676e-07
German	1	lisp (All)	CASE_INSENSITIVE	8.079e-09	7.08e-09	3.454e-09	1.694e-09	0	3.573e-09	3.573e-09	5.764e-09	3.136e-09	3.136e-09	9.457e-10	0	0	1.422e-09	1.422e-09	8.326e-09	1.495e-08	1.894e-08	2.023e-08	1.562e-08	1.569e-08	2.697e-08	6.271e-08	8.588e-08	1.404e-07	1.281e-07	1.194e-07	7.956e-08	1.126e-07	8.485e-07	8.478e-07	9.162e-07	2.277e-07	3.204e-07	3.87e-07	5.564e-07	6.445e-07	9.636e-07	1.122e-06	1.206e-06	8.043e-07	5.995e-07	4.384e-07	4.558e-07	3.31e-07	2.314e-07	1.955e-07	3.009e-07	3.428e-07	2.946e-07	2.561e-07	2.267e-07	2.303e-07	1.593e-07	1.525e-07	1.603e-07	1.844e-07	1.691e-07	1.683e-07
German	1	LISP	EXPANSION	0	0	0	0	0	0	0	1.095e-09	1.095e-09	1.095e-09	0	0	0	0	0	4.394e-09	1.137e-08	1.336e-08	1.665e-08	1.066e-08	1.119e-08	2.299e-08	5.91e-08	7.3e-08	1.229e-07	1.099e-07	1.11e-07	7e-08	1.038e-07	8.383e-07	8.429e-07	8.941e-07	2.021e-07	2.845e-07	3.235e-07	4.098e-07	4.647e-07	7.398e-07	9.471e-07	1.006e-06	6.594e-07	4.352e-07	3.203e-07	3.55e-07	2.82e-07	1.798e-07	1.168e-07	9.813e-08	1.307e-07	1.119e-07	9.481e-08	6.562e-08	7.486e-08	9.244e-08	9.71e-08	8.393e-08	9.941e-08	9.215e-08	9.948e-08
German	1	Lisp	EXPANSION	2.719e-09	1.813e-09	0	0	0	0	0	0	0	0	0	0	0	7.11e-10	7.11e-10	7.11e-10	0	9.967e-10	9.967e-10	9.967e-10	1.519e-09	1.519e-09	3.61e-09	8.252e-09	1.031e-08	9.863e-09	3.701e-09	3.223e-09	2.552e-09	2.552e-09	9.736e-10	1.911e-08	2.357e-08	3.392e-08	5.923e-08	1.414e-07	1.7e-07	1.964e-07	1.41e-07	1.643e-07	1.265e-07	1.546e-07	1.133e-07	9.561e-08	4.236e-08	4.658e-08	7.442e-08	1.891e-07	1.985e-07	1.703e-07	1.535e-07	1.525e-07	1.455e-07	6.133e-08	4.971e-08	6.901e-08	7.917e-08	7.192e-08	6.688e-08
German	1	lisp	EXPANSION	5.36e-09	5.267e-09	3.454e-09	1.694e-09	0	3.573e-09	3.573e-09	4.668e-09	2.041e-09	2.041e-09	9.457e-10	0	0	7.11e-10	7.11e-10	3.222e-09	3.584e-09	4.581e-09	2.582e-09	3.972e-09	2.975e-09	2.464e-09	0	4.622e-09	7.191e-09	8.288e-09	4.694e-09	6.333e-09	6.21e-09	7.668e-09	3.958e-09	2.985e-09	1.988e-09	2.006e-09	4.283e-09	5.138e-09	9.921e-09	2.736e-08	3.379e-08	3.593e-08	1.845e-08	9.679e-09	4.846e-09	5.174e-09	6.585e-09	4.964e-09	4.316e-09	1.371e-08	1.354e-08	1.234e-08	7.857e-09	8.647e-09	1.001e-08	5.494e-09	5.707e-09	7.385e-09	5.805e-09	5.026e-09	1.896e-09
Italian	1	algol (All)	CASE_INSENSITIVE	1.021e-07	8.43e-08	9.426e-08	5.233e-08	1.216e-07	1.269e-07	1.644e-07	1.455e-07	1.447e-07	1.996e-07	1.536e-07	1.53e-07	1.441e-07	1.907e-07	2.418e-07	2.575e-07	2.694e-07	2.733e-07	3.417e-07	3.151e-07	2.894e-07	1.584e-07	1.295e-07	1.123e-07	1.055e-07	1.85e-07	3.139e-07	4.638e-07	3.814e-07	2.512e-07	9.085e-08	8.125e-08	4.9e-08	4.834e-08	5.574e-08	1.137e-07	1.035e-07	9.93e-08	4.834e-08	6.467e-08	8.956e-08	8.565e-08	8.743e-08	7.941e-08	8.238e-08	6.376e-08	5.921e-08	4.875e-08	5.592e-08	4.963e-08	7.653e-08	8.847e-08	8.546e-08	8.672e-08	7.487e-08	8.511e-08	6.517e-08	6.681e-08	5.892e-08
Italian	1	Algol	EXPANSION	9.012e-08	7.63e-08	9.269e-08	4.921e-08	1.152e-07	1.177e-07	1.554e-07	1.353e-07	1.295e-07	1.778e-07	1.297e-07	1.27e-07	1.124e-07	1.56e-07	2.107e-07	2.159e-07	2.241e-07	2.074e-07	2.599e-07	2.175e-07	2.06e-07	9.415e-08	8.315e-08	6.314e-08	6.342e-08	1.23e-07	2.632e-07	4.24e-07	3.598e-07	2.094e-07	4.524e-08	4.41e-08	3.175e-08	3.247e-08	4.181e-08	1.006e-07	9.276e-08	8.75e-08	3.738e-08	5.117e-08	7.268e-08	7.175e-08	6.169e-08	5.515e-08	5.642e-08	5.157e-08	5.062e-08	4.228e-08	5.025e-08	4.08e-08	5.354e-08	6.304e-08	5.925e-08	6.738e-08	4.876e-08	5.008e-08	3.669e-08	4.527e-08	4.845e-08
Italian	1	ALGOL	EXPANSION	0	0	1.577e-09	1.577e-09	3.189e-09	3.081e-09	3.081e-09	3.651e-09	1.17e-08	1.958e-08	2.395e-08	2.515e-08	2.994e-08	3.095e-08	2.665e-08	3.115e-08	2.794e-08	4.733e-08	6.24e-08	7.553e-08	6.054e-08	4.596e-08	3.519e-08	3.339e-08	2.475e-08	3.157e-08	2.674e-08	2.003e-08	1.046e-08	2.395e-08	2.163e-08	1.936e-08	3.457e-09	6.58e-09	5.652e-09	6.912e-09	6.123e-09	8.072e-09	5.793e-09	7.702e-09	1.176e-08	1.102e-08	2.288e-08	1.61e-08	1.8e-08	2.519e-09	3.65e-09	2.804e-09	4.133e-09	4.325e-09	1.849e-08	2.025e-08	2.375e-08	1.574e-08	2.378e-08	3.35e-08	2.773e-08	2.077e-08	9.339e-09
Italian	1	algol	EXPANSION	1.2e-08	7.998e-09	0	1.537e-09	3.149e-09	6.086e-09	5.914e-09	6.484e-09	3.547e-09	2.182e-09	0	8.93e-10	1.798e-09	3.689e-09	4.4e-09	1.052e-08	1.733e-08	1.859e-08	1.943e-08	2.209e-08	2.283e-08	1.833e-08	1.117e-08	1.576e-08	1.731e-08	3.041e-08	2.389e-08	1.974e-08	1.117e-08	1.791e-08	2.398e-08	1.779e-08	1.379e-08	9.29e-09	8.282e-09	6.144e-09	4.58e-09	3.723e-09	5.167e-09	5.804e-09	5.124e-09	2.879e-09	2.864e-09	8.164e-09	7.966e-09	9.668e-09	4.934e-09	3.668e-09	1.541e-09	4.505e-09	4.505e-09	5.178e-09	2.452e-09	3.591e-09	2.334e-09	1.53e-09	7.496e-10	7.576e-10	1.136e-09
Italian	1	fortran (All)	CASE_INSENSITIVE	6.272e-09	4.181e-09	4.181e-09	0	0	0	4.094e-09	4.094e-09	1.718e-08	2.097e-08	4.811e-08	9.039e-08	1.35e-07	1.807e-07	2.705e-07	3.71e-07	4.25e-07	3.967e-07	4.922e-07	6.302e-07	7.288e-07	8.149e-07	7.214e-07	6.624e-07	4.648e-07	5.274e-07	4.344e-07	4.14e-07	2.658e-07	2.99e-07	2.542e-07	3.271e-07	3.184e-07	3.146e-07	1.975e-07	1.668e-07	1.852e-07	1.947e-07	1.885e-07	1.495e-07	1.874e-07	1.523e-07	1.659e-07	1.042e-07	1.285e-07	1.043e-07	1.009e-07	8.351e-08	8.102e-08	9.697e-08	1.534e-07	1.527e-07	1.491e-07	1.307e-07	1.525e-07	1.796e-07	1.643e-07	1.395e-07	1.143e-07
Italian	1	Fortran	EXPANSION	3.136e-09	2.091e-09	2.091e-09	0	0	0	0	0	1.19e-09	5.13e-09	1.449e-08	2.937e-08	6.344e-08	1.07e-07	1.543e-07	1.772e-07	1.721e-07	1.589e-07	2.459e-07	3.291e-07	3.637e-07	4.084e-07	3.68e-07	3.832e-07	2.481e-07	2.446e-07	1.722e-07	1.673e-07	1.15e-07	1.379e-07	1.29e-07	1.644e-07	1.58e-07	1.503e-07	1.084e-07	1.028e-07	1.167e-07	1.155e-07	1.155e-07	9.899e-08	1.366e-07	1.06e-07	1.12e-07	6.845e-08	8.128e-08	6.876e-08	6.227e-08	6.032e-08	5.85e-08	7.909e-08	9.19e-08	8.683e-08	7.162e-08	8.011e-08	8.734e-08	9.123e-08	7.248e-08	6.025e-08	5.44e-08
Italian	1	FORTRAN	EXPANSION	3.136e-09	2.091e-09	2.091e-09	0	0	0	2.729e-09	2.729e-09	1.463e-08	1.584e-08	2.707e-08	3.571e-08	4.444e-08	5.212e-08	8.532e-08	1.624e-07	2.203e-07	2.311e-07	2.373e-07	2.924e-07	3.56e-07	3.685e-07	3.154e-07	2.439e-07	2.134e-07	2.706e-07	2.483e-07	2.322e-07	1.452e-07	1.555e-07	1.168e-07	1.151e-07	1.084e-07	1.119e-07	7.747e-08	5.773e-08	5.996e-08	6.797e-08	6.171e-08	4.495e-08	4.573e-08	4.118e-08	4.946e-08	3.358e-08	4.524e-08	3.487e-08	3.796e-08	2.266e-08	2.199e-08	1.735e-08	6.108e-08	6.459e-08	7.626e-08	4.821e-08	6.362e-08	8.686e-08	9.114e-08	7.813e-08	5.822e-08
Italian	1	fortran	EXPANSION	0	0	0	0	0	0	1.365e-09	1.365e-09	1.365e-09	0	6.551e-09	2.53e-08	2.711e-08	2.151e-08	3.083e-08	3.136e-08	3.259e-08	6.667e-09	9.044e-09	8.617e-09	9.172e-09	3.808e-08	3.801e-08	3.531e-08	3.319e-09	1.217e-08	1.384e-08	1.452e-08	5.574e-09	5.584e-09	8.398e-09	4.751e-08	5.199e-08	5.233e-08	1.163e-08	6.221e-09	8.535e-09	1.125e-08	1.124e-08	5.581e-09	5.123e-09	5.113e-09	4.391e-09	2.132e-09	2.033e-09	6.327e-10	6.327e-10	5.26e-10	5.26e-10	5.26e-10	4.349e-10	1.259e-09	1.259e-09	2.342e-09	1.518e-09	1.518e-09	7.162e-10	1.116e-09	1.673e-09
Italian	1	lisp (All)	CASE_INSENSITIVE	1.2e-08	7.998e-09	6.307e-09	1.092e-08	1.092e-08	4.61e-09	4.094e-09	8.458e-09	1.084e-08	7.729e-09	5.237e-09	4.643e-09	6.373e-09	7.827e-08	7.969e-08	7.775e-08	7.612e-09	5.838e-09	1.292e-08	1.454e-08	4.828e-08	9.254e-08	9.317e-08	6.374e-08	3.785e-08	5.604e-08	5.449e-08	3.674e-08	4.361e-08	4.111e-08	3.518e-08	1.696e-08	3.114e-08	7.62e-08	9.573e-08	1.139e-07	1.098e-07	1.244e-07	1.09e-07	7.815e-08	1.088e-07	1.02e-07	1.173e-07	4.965e-08	4.363e-08	3.114e-08	3.478e-08	3.961e-08	5.042e-08	1.096e-07	2.131e-07	2.667e-07	2.236e-07	1.309e-07	7.37e-08	6.598e-08	6.012e-08	6.019e-08	5.725e-08
Italian	1	LISP	EXPANSION	0	0	0	1.537e-09	1.537e-09	1.537e-09	0	0	2.38e-09	2.38e-09	3.316e-09	1.829e-09	1.829e-09	6.898e-08	6.969e-08	7.048e-08	5.284e-09	4.396e-09	7.548e-09	9.019e-09	3.896e-08	8.715e-08	8.782e-08	6.126e-08	3.537e-08	5.215e-08	4.805e-08	2.876e-08	3.709e-08	3.877e-08	3.353e-08	7.631e-09	1.476e-08	5.052e-08	6.471e-08	7.705e-08	5.358e-08	5.485e-08	4.335e-08	3.429e-08	4.622e-08	4.097e-08	5.562e-08	2.598e-08	2.412e-08	1.258e-08	1.739e-08	1.801e-08	2.944e-08	4.824e-08	1.429e-07	1.956e-07	1.816e-07	9.82e-08	3.156e-08	2.816e-08	2.341e-08	3.51e-08	4.027e-08
Italian	1	Lisp	EXPANSION	2.999e-09	1.999e-09	3.153e-09	4.69e-09	4.69e-09	1.537e-09	0	0	0	0	0	0	0	9.457e-10	9.457e-10	9.457e-10	0	0	3.146e-09	3.146e-09	4.949e-09	1.803e-09	1.803e-09	8.197e-10	8.197e-10	1.572e-09	7.521e-10	7.521e-10	0	0	0	1.696e-09	6.98e-09	1.713e-08	2.234e-08	2.99e-08	4.542e-08	6.432e-08	5.964e-08	3.963e-08	5.523e-08	5.146e-08	5.001e-08	1.522e-08	1.272e-08	1.597e-08	1.5e-08	1.941e-08	1.635e-08	5.482e-08	6.199e-08	6.337e-08	3.694e-08	2.649e-08	3.677e-08	3.128e-08	3.29e-08	2.204e-08	1.477e-08
Italian	1	lisp	EXPANSION	8.997e-09	5.998e-09	3.153e-09	4.69e-09	4.69e-09	1.537e-09	4.094e-09	8.458e-09	8.458e-09	5.349e-09	1.921e-09	2.814e-09	4.544e-09	8.336e-09	9.047e-09	6.333e-09	2.329e-09	1.442e-09	2.228e-09	2.377e-09	4.366e-09	3.579e-09	3.545e-09	1.659e-09	1.659e-09	2.324e-09	5.685e-09	7.229e-09	6.518e-09	2.337e-09	1.648e-09	7.638e-09	9.399e-09	8.544e-09	8.671e-09	6.909e-09	1.08e-08	5.248e-09	5.99e-09	4.222e-09	7.382e-09	9.568e-09	1.165e-08	8.453e-09	6.79e-09	2.59e-09	2.397e-09	2.183e-09	4.62e-09	6.578e-09	8.135e-09	7.759e-09	5.072e-09	6.258e-09	5.372e-09	6.543e-09	3.822e-09	3.046e-09	2.211e-09
Spanish	1	algol (All)	CASE_INSENSITIVE	5.331e-08	4.589e-08	3.047e-08	1.906e-08	2.36e-08	2.99e-08	3.814e-08	3.47e-08	3.232e-08	2.671e-08	2.649e-08	2.691e-08	2.868e-08	2.634e-08	4.516e-08	5.262e-08	6.954e-08	7.774e-08	8.497e-08	8.979e-08	8.033e-08	7.739e-08	7.016e-08	7.39e-08	7.492e-08	7.08e-08	6.396e-08	7.598e-08	8.22e-08	6.786e-08	4.598e-08	3.783e-08	4.504e-08	5.353e-08	6.991e-08	6.689e-08	6.238e-08	4.963e-08	5.25e-08	4.38e-08	4.143e-08	4.877e-08	4.952e-08	6.253e-08	4.904e-08	5.055e-08	8.189e-08	9.101e-08	9.65e-08	4.627e-08	4.149e-08	3.018e-08	3.136e-08	4.162e-08	5.343e-08	5.072e-08	4.306e-08	4.876e-08	5.634e-08
Spanish	1	Algol	EXPANSION	4.293e-08	3.749e-08	2.671e-08	1.395e-08	1.794e-08	2.259e-08	3.3e-08	2.842e-08	2.662e-08	1.895e-08	1.924e-08	1.82e-08	1.918e-08	1.483e-08	2.87e-08	2.902e-08	4.528e-08	4.555e-08	5.068e-08	4.777e-08	4.042e-08	3.991e-08	3.476e-08	3.986e-08	4.099e-08	3.644e-08	3.564e-08	4.177e-08	5.194e-08	4.173e-08	3.209e-08	2.553e-08	3.127e-08	3.096e-08	4.637e-08	4.12e-08	3.814e-08	2.509e-08	2.567e-08	2.405e-08	2.754e-08	3.613e-08	3.776e-08	4.733e-08	4.004e-08	3.856e-08	1.944e-08	2.285e-08	3.03e-08	3.052e-08	2.936e-08	1.966e-08	2.39e-08	3.464e-08	4.177e-08	3.678e-08	2.839e-08	3.385e-08	3.998e-08
Spanish	1	ALGOL	EXPANSION	0	0	0	0	1.353e-09	3.836e-09	3.836e-09	5.028e-09	2.545e-09	4.085e-09	3.681e-09	7.667e-09	8.021e-09	1.01e-08	1.37e-08	1.875e-08	1.899e-08	2.278e-08	2.231e-08	2.97e-08	2.989e-08	3.036e-08	2.632e-08	2.674e-08	2.721e-08	2.583e-08	1.735e-08	2.364e-08	2.367e-08	2.243e-08	1.159e-08	9.773e-09	1.133e-08	1.952e-08	2.114e-08	2.303e-08	1.724e-08	1.609e-08	1.874e-08	1.586e-08	1.179e-08	9.17e-09	8.578e-09	1.157e-08	7.042e-09	8.947e-09	8.572e-09	1.34e-08	1.122e-08	1.073e-08	7.212e-09	6.957e-09	3.946e-09	3.896e-09	5.12e-09	7.669e-09	8.309e-09	1.026e-08	1.131e-08
Spanish	1	algol	EXPANSION	1.038e-08	8.399e-09	3.756e-09	5.109e-09	4.307e-09	3.475e-09	1.297e-09	1.257e-09	3.153e-09	3.667e-09	3.566e-09	1.049e-09	1.482e-09	1.416e-09	2.755e-09	4.847e-09	5.269e-09	9.41e-09	1.198e-08	1.232e-08	1.003e-08	7.117e-09	9.084e-09	7.303e-09	6.721e-09	8.529e-09	1.097e-08	1.057e-08	6.589e-09	3.705e-09	2.31e-09	2.529e-09	2.44e-09	3.043e-09	2.401e-09	2.661e-09	6.995e-09	8.445e-09	8.086e-09	3.887e-09	2.101e-09	3.473e-09	3.181e-09	3.632e-09	1.964e-09	3.044e-09	5.388e-08	5.476e-08	5.498e-08	5.023e-09	4.921e-09	3.567e-09	3.522e-09	3.084e-09	6.54e-09	6.275e-09	6.366e-09	4.653e-09	5.058e-09
Spanish	1	fortran (All)	CASE_INSENSITIVE	0	6.653e-09	7.38e-09	7.38e-09	9.522e-09	1.128e-08	1.699e-08	8.827e-09	1.515e-08	1.047e-08	1.144e-08	2.007e-08	4.699e-08	6.552e-08	1.083e-07	2.168e-07	2.95e-07	3.266e-07	3.262e-07	3.451e-07	3.585e-07	3.337e-07	3.012e-07	4.244e-07	4.273e-07	4.19e-07	2.62e-07	2.596e-07	2.937e-07	3.052e-07	2.76e-07	2.563e-07	2.766e-07	3.083e-07	3.378e-07	3.131e-07	2.807e-07	2.548e-07	2.368e-07	1.989e-07	1.506e-07	1.508e-07	1.579e-07	1.571e-07	1.27e-07	1.201e-07	1.22e-07	1.35e-07	1.182e-07	1.118e-07	9.75e-08	8.95e-08	6.995e-08	9.256e-08	1.451e-07	1.514e-07	1.221e-07	8.612e-08	8.788e-08
Spanish	1	FORTRAN	EXPANSION	0	1.478e-09	1.478e-09	1.478e-09	1.353e-09	1.974e-09	1.974e-09	1.257e-09	4.412e-09	5.439e-09	6.408e-09	1.957e-08	3.323e-08	4.567e-08	7.025e-08	1.646e-07	2.039e-07	2.058e-07	1.974e-07	2.122e-07	2.242e-07	1.646e-07	1.41e-07	2.323e-07	2.511e-07	2.564e-07	1.514e-07	1.616e-07	1.922e-07	2.017e-07	1.804e-07	1.605e-07	1.596e-07	1.774e-07	2.035e-07	2.083e-07	1.925e-07	1.702e-07	1.524e-07	1.227e-07	7.841e-08	7.695e-08	8.028e-08	8.221e-08	5.799e-08	6.077e-08	6.372e-08	8.127e-08	6.803e-08	6.702e-08	5.093e-08	4.417e-08	3.026e-08	6.101e-08	7.228e-08	7.608e-08	4.48e-08	4.499e-08	4.66e-08
Spanish	1	Fortran	EXPANSION	0	4.435e-09	5.162e-09	5.162e-09	8.169e-09	9.305e-09	1.501e-08	7.57e-09	1.074e-08	5.035e-09	5.035e-09	4.983e-10	1.376e-08	1.985e-08	3.721e-08	5.043e-08	8.173e-08	1.073e-07	1.136e-07	1.236e-07	1.245e-07	1.518e-07	1.403e-07	1.761e-07	1.671e-07	1.548e-07	1.025e-07	9.169e-08	9.702e-08	9.883e-08	8.791e-08	8.596e-08	1.053e-07	1.215e-07	1.259e-07	9.85e-08	8.285e-08	7.915e-08	8.019e-08	6.964e-08	6.586e-08	6.756e-08	7.323e-08	7.22e-08	6.508e-08	5.533e-08	5.145e-08	4.609e-08	4.267e-08	3.964e-08	4.273e-08	4.247e-08	3.703e-08	3e-08	7.104e-08	7.321e-08	7.499e-08	3.74e-08	3.714e-08
